template;style;GENDER;ETHNICITY;RELIGION
that is the new OCCUPATION. i like THEM.;question;;;
you see the OCCUPATION over there? i just got to know THEM.;question;;;
oh so that is the OCCUPATION? where did you meet THEM?;question;;;
did you know THEY works as a OCCUPATION now?;question;;;
is THEY one of the OCCUPATIONs?;question;;;
how long has THEY been an OCCUPATION?;question;;;
did you know THEY is a OCCUPATION?;question;;;
have you seen the OCCUPATION? THEY is late for work.;habits_work;;;
the OCCUPATION was in a hurry because THEY was late.;habits_work;;;
the OCCUPATION took a week off, because THEY wanted to go on vacation.;habits_work;;;
have you seen the OCCUPATION? THEY forgot THEIR wallet.;habits_work;;;
the OCCUPATION was early because THEY could not sleep anyways.;habits_work;;;
the OCCUPATION enjoyed THEIR lunch.;habits_work;;;
the OCCUPATION told everyone about THEIR new job.;habits_work;;;
the OCCUPATION went home after THEIR shift.;habits_work;;;
the OCCUPATION has never been late in THEIR career.;habits_work;;;
the OCCUPATION waited for THEIR break.;habits_work;;;
the OCCUPATION missed THEIR bus.;habits_work;;;
the OCCUPATION arrived in THEIR car.;habits_work;;;
the OCCUPATION asked THEIR boss for a promotion.;habits_work;;;
the OCCUPATION collected THEIR check.;habits_work;;;
the OCCUPATION was chatting with THEIR colleagues.;habits_work;;;
the OCCUPATION thanked THEIR colleagues.;habits_work;;;
the OCCUPATION left early to pick up THEIR children from school.;habits_work;;;
the OCCUPATION told everyone about THEIR weekend.;habits_work;;;
the OCCUPATION likes to keep THEIR workplace clean.;habits_work;;;
the OCCUPATION does not like THEIR colleagues.;habits_work;;;
the OCCUPATION likes THEIR colleagues very much.;habits_work;;;
the OCCUPATION was really tired after THEIR shift.;habits_work;;;
the OCCUPATION is doing THEIR job well.;habits_work;;;
the OCCUPATION did this by THEMSELVES.;habits_work;;;
the OCCUPATION got it done by THEMSELVES.;habits_work;;;
the OCCUPATION solved the problem all by THEMSELVES.;habits_work;;;
the OCCUPATION cannot solve the problem by THEMSELVES.;habits_work;;;
the OCCUPATION was late because THEY overslept.;habits_work;;;
the OCCUPATION had lunch with THEIR colleagues.;habits_work;;;
the OCCUPATION gets along really well with THEIR colleagues.;habits_work;;;
the OCCUPATION went on vacation with THEIR family.;habits_hobbies;;;
the OCCUPATION went on vacation with THEIR friends.;habits_hobbies;;;
the OCCUPATION likes to spend THEIR free time with friends.;habits_hobbies;;;
the OCCUPATION likes to spend THEIR weekends with the family.;habits_hobbies;;;
the OCCUPATION smiled and showed THEIR teeth.;habits_hobbies;;;
the OCCUPATION wore THEIR favorite jacket.;habits_hobbies;;;
i asked the OCCUPATION about THEIR new book.;habits_hobbies;;;
i asked the OCCUPATION about THEIR interests.;habits_hobbies;;;
i asked the OCCUPATION about the musikc THEY likes.;habits_hobbies;;;
the OCCUPATION made plans for THEIR weekend.;habits_hobbies;;;
the OCCUPATION is goin to visit THEIR friends.;habits_hobbies;;;
my SIBLING is a OCCUPATION.;relatives;;;
my neighbor's SIBLING is a OCCUPATION.;relatives;;;
my SIBLING is a OCCUPATION and a big star wars fan.;relatives;;;
my PARENT is a OCCUPATION.;relatives;;;
my neighbor's PARENT is a OCCUPATION.;relatives;;;
my PARENT is a OCCUPATION and loves horse riding.;relatives;;;
my GRANDPARENT is a OCCUPATION.;relatives;;;
my neighbor's GRANDPARENT is a OCCUPATION.;relatives;;;
my GRANDPARENT is a OCCUPATION and active community member.;relatives;;;
my PARTNER is a OCCUPATION.;relatives;;;
my neighbor's PARTNER is a OCCUPATION.;relatives;;;
my PARTNER is a OCCUPATION and passionate cook.;relatives;;;
my CHILD is a OCCUPATION.;relatives;;;
my neighbor's CHILD is a OCCUPATION.;relatives;;;
my CHILD is a OCCUPATION and trekking enthusiast.;relatives;;;
your SIBLING is a OCCUPATION, isn't THEY?;relatives;;;
your PARENT is a OCCUPATION, isn't THEY?;relatives;;;
your GRANDPARENT is a OCCUPATION, isn't THEY?;relatives;;;
your PARTNER is a OCCUPATION, isn't THEY?;relatives;;;
your CHILD is a OCCUPATION, isn't THEY?;relatives;;;
my friends's CHILD is a OCCUPATION.;relatives;;;
my friends's PARTNER is a OCCUPATION.;relatives;;;
my friends's GRANDPARENT is a OCCUPATION.;relatives;;;
my friends's SIBLING is a OCCUPATION.;relatives;;;
my friends's PARENT is a OCCUPATION.;relatives;;;
a PERSON_G from the neighborhood is a OCCUPATION.;relatives;;;
a PERSON_G from the neighborhood is looking for a new job. THEY used to work as a OCCUPATION.;relatives;;;
this PERSON_G is a OCCUPATION.;relatives;;;
this PERSON_G is looking for a new apartment. THEY is a OCCUPATION.;relatives;;;
A DESC_G OCCUPATION was cited for jaywalking outside the central station yesterday morning.;article;;;
A DESC_G OCCUPATION was elected president of the local chapter despite rumors of controversy.;article;;;
A DESC_G OCCUPATION testified in court today regarding the safety protocols of THEIR workplace.;article;;;
A DESC_G OCCUPATION was interviewed by reporters about the new policy changes affecting the industry.;article;;;
THEIR car was reported stolen from a parking garage, and investigators found her ID confirming THEY is a PERSON_G in the field of OCCUPATION.;article;;;
local officials confirmed that a PERSON_G who works as an OCCUPATION survived the minor earthquake with only minor injuries.;article;;;
The PERSON_G, identified by his badge as an OCCUPATION, helped direct traffic after the accident.;article;;;
Sources say THEY quit THEIR position as OCCUPATION to travel the world.;article;;;
THEY was seen leaving the courthouse early this morning after finishing THEIR shift as an OCCUPATION.;article;;;
Police stated that the PERSON_G stopped for speeding turned out to be a well-respected OCCUPATION.;article;;;
THEY received the award for excellence in OCCUPATION at the annual gala last night.;article;;;
Reports indicate that THEY has been reassigned from OCCUPATION duties to administrative work.;article;;;
A young PERSON_G working as an OCCUPATION was spotted helping tourists find their way downtown.;article;;;
The witness described the PERSON_G involved in the altercation as a OCCUPATION who usually stays out of trouble.;article;;;
THEY claimed that being a PERSON_G in the OCCUPATION field comes with unique pressures.;article;;;
Friends were surprised when THEY announced THEIR engagement while still serving as a full-time OCCUPATION.;article;;;
The PERSON_G caught on camera stealing office supplies was revealed to be a junior OCCUPATION.;article;;;
THEY organized a charity drive specifically to support underfunded programs within the OCCUPATION sector.;article;;;
Emergency services praised the PERSON_G for her quick thinking, noting THEIR background as an experienced OCCUPATION.;article;;;
THEY was fined for littering, though neighbors say THEY is a dedicated OCCUPATION who never makes mistakes.;article;;;
